replica,dipole_x,dipole_y,dipole_z,dipole_magnitude
000,0.8018383500000041,-1.174692350000008,1.8518345249999655,2.3349813628080884
001,1.2094728000000003,-0.7218097499999985,1.6464397000000233,2.166701976477399
002,-0.14878365000001992,-0.5002250250000024,1.9683524750000032,2.0363627171951024
003,-1.9662940999999776,0.29714977499999407,0.46406234999998475,2.0420490545441794
004,-1.6690064749999962,-0.3045442999999999,0.2845628749999989,1.7202633153336346
005,-0.7284578499999839,-0.9158887499999935,2.2324590750000013,2.5205905187382203
006,-0.596692924999985,2.209394849999999,1.3899391500000036,2.677573321247112
007,1.3496519749999862,-0.4845737999999997,1.4733578999999963,2.0560047963855053
008,1.1029638999999918,-0.8638390000000058,1.8184129249999827,2.2955114350469255
009,-0.32594130000000376,-1.0319097749999848,1.793835125000001,2.0949749331364282
010,0.04350929999998243,-0.7097987749999994,2.214563649999995,2.3259405667555844
011,-2.024054724999992,-1.2019015249999967,-0.5811987500000129,2.424697257925964
012,0.7194979499999903,-0.4011073249999946,1.2627056249999953,1.5076438178924985
013,-2.3805283750000044,-0.00501044999999678,0.2564664499999907,2.3943089793852756
014,-0.1737177999999986,-0.9750864250000006,2.2987539000000083,2.503046324585578
015,-0.2833271750000037,-0.8416224750000012,1.9522343000000149,2.1447194316775233
