Replica,Reactant_Dipole_X,Reactant_Dipole_Y,Reactant_Dipole_Z,Reactant_Magnitude,Product_Dipole_X,Product_Dipole_Y,Product_Dipole_Z,Product_Magnitude
replica000,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica001,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica002,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica003,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica004,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica005,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica006,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica007,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica008,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica009,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica010,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica011,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica012,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica013,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica014,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
replica015,3.3270000000000013,0.0,0.0,3.3270000000000013,13.047000000000002,0.0,0.0,13.047000000000002
