sequence_id,mpnn_score,species,is_template,distance_to_ANC,distance_to_HUM,distance_to_MOU,x,y,residual_A,residual_B,residual_C,mean_residual
ANC_L00_1GP1_A_template,1.3948,ANC,True,0.5595854922279793,0.6063829787234043,0.574468085106383,0.20261615284411646,0.22128420176990288,0.3712888922245413,0.30634964166518097,0.34570343034822476,0.3411139880793157
ANC_L00_1GP1_A_s1,0.8071,ANC,False,0.616580310880829,0.6648936170212766,0.6436170212765957,0.183727746417716,0.2651880575561597,0.41123097807352393,0.34227838075035644,0.3675012144210962,0.37367019108165883
ANC_L00_1GP1_A_s2,0.8055,ANC,False,0.6424870466321243,0.6914893617021277,0.6861702127659575,0.14437689969604875,0.3010621617136721,0.42774258890525857,0.3575984897371215,0.36343946133124294,0.38292684665787435
ANC_L00_2F8A_A_template,1.3829,ANC,True,0.5699481865284974,0.6329787234042553,0.574468085106383,0.2658488927485887,0.28938654955956067,0.2895929121242501,0.2400153550839516,0.28503462925693834,0.2715476321550467
ANC_L00_2F8A_A_s1,0.7952,ANC,False,0.6373056994818653,0.6861702127659575,0.6702127659574468,0.17184107685627448,0.28406812790877123,0.42387409288736794,0.35417012693958594,0.3725894339524273,0.38354455125979375
ANC_L00_2F8A_A_s2,0.7831,ANC,False,0.6476683937823834,0.7021276595744681,0.675531914893617,0.2006079027355625,0.31114531051580885,0.39558500904417365,0.33191834729837205,0.3586485726424712,0.36205064299500567
ANC_L00_2V1M_A_template,1.5168,ANC,True,0.6580310880829016,0.6808510638297872,0.6648936170212766,0.171515414676509,0.12420468825420782,0.5384857668804633,0.46908623658980436,0.5120221255865988,0.5065313763522888
ANC_L00_2V1M_A_s1,0.829,ANC,False,0.7098445595854922,0.7393617021276596,0.7393617021276596,0.13031914893617022,0.20212410051436625,0.5871220889935066,0.49886797541490446,0.49886797541490446,0.5282860132744385
ANC_L00_2V1M_A_s2,0.7784,ANC,False,0.6839378238341969,0.723404255319149,0.6861702127659575,0.23100303951367793,0.21168689684899994,0.4774651214754556,0.4100773548427983,0.47241897689691315,0.4533204844050556
ANC_L00_3CMI_A_template,1.5603,ANC,True,0.6632124352331606,0.6914893617021277,0.6702127659574468,0.1858988276161529,0.1533839029324377,0.5225774726935031,0.4504810718284231,0.49958858803133044,0.4908823775177522
ANC_L00_3CMI_A_s1,0.8228,ANC,False,0.7150259067357513,0.75,0.7393617021276596,0.1607142857142857,0.22662220495092095,0.5539397412442555,0.4721750453802426,0.4916876583067935,0.5059341483104306
ANC_L00_3CMI_A_s2,0.8357,ANC,False,0.7357512953367875,0.7340425531914894,0.7606382978723404,0.05405992184107701,0.027815599660367035,0.6569624545799303,0.6732463137195519,0.5521956606116785,0.6274681429703869
ANC_L00_3E0U_A_template,1.6626,ANC,True,0.7202072538860104,0.723404255319149,0.7074468085106383,0.17412071211463312,0.0012427290276217074,0.5598815270081361,0.5492791084771634,0.6209202980021339,0.5766936444958112
ANC_L00_3E0U_A_s1,0.9152,ANC,False,0.7668393782383419,0.7553191489361702,0.7606382978723404,0.11485019539730815,-0.07303346446279382,0.576944487360403,0.619214577689507,0.5975798489814329,0.597912971343781
ANC_L00_3E0U_A_s2,0.9058,ANC,False,0.7461139896373057,0.7606382978723404,0.7393617021276596,0.19154363873208832,0.07353576636050534,0.6039452876831767,0.5554640439491066,0.6384578822993972,0.5992890713105602
ANC_L00_6VPD_A_template,1.5968,ANC,True,0.6839378238341969,0.7021276595744681,0.6648936170212766,0.22796352583586635,0.07094359904460135,0.5056457603864438,0.46338017088208233,0.5867870553696668,0.5186043288793977
ANC_L00_6VPD_A_s1,0.8297,ANC,False,0.7668393782383419,0.7659574468085106,0.7659574468085106,0.1303191489361702,-0.0048554330245409606,0.6313459189686856,0.6355478773386918,0.6355478773386918,0.6341472245486898
ANC_L00_6VPD_A_s2,0.8495,ANC,False,0.7305699481865285,0.7553191489361702,0.7340425531914894,0.19110942249240137,0.14359310764860894,0.5878561633822195,0.51627565513313,0.5745018214776599,0.5595445466643364
HUM_L01_1GP1_A_template,1.3948,HUM,True,0.5595854922279793,0.6063829787234043,0.574468085106383,0.20261615284411646,0.22128420176990288,0.3712888922245413,0.30634964166518097,0.34570343034822476,0.3411139880793157
HUM_L01_1GP1_A_s1,0.8071,HUM,False,0.616580310880829,0.6648936170212766,0.6436170212765957,0.183727746417716,0.2651880575561597,0.41123097807352393,0.34227838075035644,0.3675012144210962,0.37367019108165883
HUM_L01_1GP1_A_s2,0.8055,HUM,False,0.6424870466321243,0.6914893617021277,0.6861702127659575,0.14437689969604875,0.3010621617136721,0.42774258890525857,0.3575984897371215,0.36343946133124294,0.38292684665787435
HUM_L01_2F8A_A_template,1.3829,HUM,True,0.5699481865284974,0.6329787234042553,0.574468085106383,0.2658488927485887,0.28938654955956067,0.2895929121242501,0.2400153550839516,0.28503462925693834,0.2715476321550467
HUM_L01_2F8A_A_s1,0.7952,HUM,False,0.6373056994818653,0.6861702127659575,0.6702127659574468,0.17184107685627448,0.28406812790877123,0.42387409288736794,0.35417012693958594,0.3725894339524273,0.38354455125979375
HUM_L01_2F8A_A_s2,0.7831,HUM,False,0.6476683937823834,0.7021276595744681,0.675531914893617,0.2006079027355625,0.31114531051580885,0.39558500904417365,0.33191834729837205,0.3586485726424712,0.36205064299500567
HUM_L01_2V1M_A_template,1.5168,HUM,True,0.6580310880829016,0.6808510638297872,0.6648936170212766,0.171515414676509,0.12420468825420782,0.5384857668804633,0.46908623658980436,0.5120221255865988,0.5065313763522888
HUM_L01_2V1M_A_s1,0.829,HUM,False,0.7098445595854922,0.7393617021276596,0.7393617021276596,0.13031914893617022,0.20212410051436625,0.5871220889935066,0.49886797541490446,0.49886797541490446,0.5282860132744385
HUM_L01_2V1M_A_s2,0.7784,HUM,False,0.6839378238341969,0.723404255319149,0.6861702127659575,0.23100303951367793,0.21168689684899994,0.4774651214754556,0.4100773548427983,0.47241897689691315,0.4533204844050556
HUM_L01_3CMI_A_template,1.5603,HUM,True,0.6632124352331606,0.6914893617021277,0.6702127659574468,0.1858988276161529,0.1533839029324377,0.5225774726935031,0.4504810718284231,0.49958858803133044,0.4908823775177522
HUM_L01_3CMI_A_s1,0.8228,HUM,False,0.7150259067357513,0.75,0.7393617021276596,0.1607142857142857,0.22662220495092095,0.5539397412442555,0.4721750453802426,0.4916876583067935,0.5059341483104306
HUM_L01_3CMI_A_s2,0.8357,HUM,False,0.7357512953367875,0.7340425531914894,0.7606382978723404,0.05405992184107701,0.027815599660367035,0.6569624545799303,0.6732463137195519,0.5521956606116785,0.6274681429703869
HUM_L01_3E0U_A_template,1.6626,HUM,True,0.7202072538860104,0.723404255319149,0.7074468085106383,0.17412071211463312,0.0012427290276217074,0.5598815270081361,0.5492791084771634,0.6209202980021339,0.5766936444958112
HUM_L01_3E0U_A_s1,0.9152,HUM,False,0.7668393782383419,0.7553191489361702,0.7606382978723404,0.11485019539730815,-0.07303346446279382,0.576944487360403,0.619214577689507,0.5975798489814329,0.597912971343781
HUM_L01_3E0U_A_s2,0.9058,HUM,False,0.7461139896373057,0.7606382978723404,0.7393617021276596,0.19154363873208832,0.07353576636050534,0.6039452876831767,0.5554640439491066,0.6384578822993972,0.5992890713105602
HUM_L01_5H5Q_A_template,1.4651,HUM,True,0.694300518134715,0.7127659574468085,0.675531914893617,0.2294832826747722,0.07379476705487975,0.5150628433591772,0.47170943985835295,0.595430088343627,0.5274007905203857
HUM_L01_5H5Q_A_s1,0.7403,HUM,False,0.694300518134715,0.6914893617021277,0.7074468085106383,0.08749457229700393,0.00461436241628313,0.5867260571466989,0.6038731958310714,0.5342416063756671,0.5749469531178124
HUM_L01_5H5Q_A_s2,0.7089,HUM,False,0.7150259067357513,0.7127659574468085,0.7287234042553191,0.08619192357794199,0.008402936759976597,0.6114575995927087,0.6261653971930898,0.5540747659822036,0.5972325875893341
HUM_L01_5H5R_A_template,1.5332,HUM,True,0.694300518134715,0.7074468085106383,0.6702127659574468,0.22872340425531923,0.03874164996247165,0.5061847726315732,0.4754655353527456,0.6200183850328805,0.5338895643390664
HUM_L01_5H5R_A_s1,0.754,HUM,False,0.689119170984456,0.6914893617021277,0.6914893617021277,0.13031914893617022,0.016833614397141518,0.5708223171623563,0.5600874927918289,0.5600874927918289,0.5636657675820047
HUM_L01_5H5R_A_s2,0.7841,HUM,False,0.7150259067357513,0.7287234042553191,0.723404255319149,0.14513677811550119,0.08683644948777607,0.6210604837589275,0.5595925279453109,0.5789010718739992,0.5865180278594125
