sequence_id,distance_to_A,distance_to_B,distance_to_C,x,y,residual_A,residual_B,residual_C,mean_residual
MOUSE_GPX6_level01_chainA,0.041025641025641026,0.2639593908629442,0.22797927461139897,0.46600427159841434,0.27926679740402244,0.5022513834105743,0.3386527415103092,0.35976333207203903,0.4002224856643075
MOUSE_GPX6_level02_chainA,0.046153846153846156,0.25888324873096447,0.22797927461139897,0.4675548205206471,0.27862970602992243,0.49812735256095003,0.34205966222907114,0.36031180590228884,0.4001662735641034
MOUSE_GPX6_level03_chainA,0.05128205128205128,0.25380710659898476,0.22279792746113988,0.46910590071177344,0.2793711532458612,0.49471116053337666,0.3461068755059331,0.36466922485106446,0.40182908696345815
MOUSE_GPX6_level04_chainA,0.05641025641025641,0.25380710659898476,0.22279792746113988,0.46938203483406105,0.27953057935569664,0.4899017784378651,0.34593681354674966,0.36449555868748373,0.4001113835573662
MOUSE_GPX6_level05_chainA,0.06153846153846154,0.24873096446700507,0.22279792746113988,0.47095994478191705,0.2789687917202798,0.4858433579832131,0.34935512196121565,0.3649765110570026,0.4000583303338104
MOUSE_GPX6_level06_chainA,0.06666666666666667,0.25380710659898476,0.22797927461139897,0.47001319854214796,0.2785465034522501,0.479685382280983,0.3449200134690802,0.36026443899478156,0.39495661158161494
MOUSE_GPX6_level07_chainA,0.07179487179487179,0.24873096446700507,0.23316062176165803,0.47164370546567785,0.27663560475031135,0.47499123146760647,0.3476645685390779,0.35691091173678663,0.3931889039144903
MOUSE_GPX6_level08_chainA,0.07179487179487179,0.2436548223350254,0.22797927461139897,0.4728934155844646,0.27729356222140655,0.4764020838265347,0.3519398980778145,0.3613762617067692,0.39657274787037283
MOUSE_GPX6_level09_chainA,0.07179487179487179,0.2436548223350254,0.22797927461139897,0.4728934155844646,0.27729356222140655,0.4764020838265347,0.3519398980778145,0.3613762617067692,0.39657274787037283
MOUSE_GPX6_level10_chainA,0.07179487179487179,0.23857868020304568,0.22797927461139897,0.4741173584843075,0.27658691845870953,0.4771018334954972,0.35560384740106293,0.36202719917928705,0.39824429335861566
MOUSE_GPX6_level11_chainA,0.07692307692307693,0.2436548223350254,0.22797927461139897,0.47327474365810035,0.2775137220873697,0.47171418842756113,0.35170503658664026,0.3611389128692223,0.3948527126278079
MOUSE_GPX6_level12_chainA,0.08205128205128205,0.23857868020304568,0.22279792746113988,0.47490631311941583,0.2783909000698809,0.46843713697530837,0.35574856403497795,0.36537211859451857,0.39651927320160163
MOUSE_GPX6_level13_chainA,0.08717948717948718,0.2436548223350254,0.22797927461139897,0.47411629526888294,0.27799959213639186,0.4624294962509975,0.3511875468097128,0.36061593547355564,0.39141099284475533
MOUSE_GPX6_level14_chainA,0.09230769230769231,0.23857868020304568,0.23316062176165803,0.47580046170587215,0.2761791806121681,0.4578386692754137,0.3539245651478851,0.35718180822643025,0.3896483475499097
MOUSE_GPX6_level15_chainA,0.09743589743589744,0.233502538071066,0.23834196891191708,0.4774851594117545,0.2743578297333971,0.4532584789603832,0.3566618266367494,0.3537538309635413,0.3878913788535579
MOUSE_GPX6_level16_chainA,0.10256410256410256,0.22842639593908629,0.24352331606217617,0.47917038838652976,0.272535539500079,0.4486889077651808,0.35939934747815927,0.3503319623754543,0.3861400725395981
MOUSE_GPX6_level17_chainA,0.1076923076923077,0.2233502538071066,0.24870466321243523,0.480856148630198,0.2707123099122138,0.4441299376127122,0.3621371441384662,0.34691616145791615,0.3843944144030315
MOUSE_GPX6_level18_chainA,0.11282051282051282,0.2182741116751269,0.24352331606217617,0.48254244014275877,0.2718640933895821,0.441036230221826,0.3662533996773756,0.3508944067273636,0.3860613455421884
